ticker;score_sector;score_general;score_final;business_segment;activity_subsector;sector;company_name;crescimento_lucro;crescimento_receita;dividend_yield;Dív. líquida/EBIT;div_liq_ebitda;Dív. líquida/PL;EV/EBIT;EV/EBITDA;Giro ativos;lpa;liq_corrent;M. Bruta;M. EBIT;M. EBITDA;m_liquida;passivos_ativos;P/Ativo Circ. Liq.;P/Cap. Giro;P/EBIT;P/EBITDA;p_l;P/SR;p_vp;PEG Ratio;PL/Ativos;Passivos/Ativos;ROA;roe;ROIC;VPA;number_code;outlier
SOJA3;0,8527594010281341;0,6394596705958404;0,7354445492903726;Agricultura;Agropecuária;Consumo não Cíclico;BOA SAFRA SEMENTES S.A.;106,34;46,18;2,81;-0,59;-0,54;-0,08;7,19;6,56;0,6;1,98;2,67;15,42;10,68;11,69;15,57;0,5;-1,54;1,18;7,77;7,1;5,33;0,83;1,1;0,13;0,46;0,34;9,38;20,57;4,72;9,65;3;False
TKNO4;0,8020321065126118;0,6686401404649519;0,7286665251863989;Artefatos de Ferro e Aço;Siderurgia e Metalurgia;Materiais Básicos;TEKNO;130,56;15,16;2,39;-1,72;-1,54;-0,29;2,94;2,64;0,73;15,87;3,12;27,49;18,17;20,26;15,94;0,49;-1,18;1,22;3,65;3,27;4,16;0,66;0,63;0,06;0,78;0,22;11,7;15,05;13,07;105,44;4;False
LAVV3;0,711562427186839;0,6559284581215786;0,6809637442009459;Incorporações;Construção Civil;Consumo Cíclico;LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.;73,22;60,53;12,46;-0,27;0,0;-0,06;5,13;0,0;0,45;1,59;4,83;25,9;25,85;0,0;25,27;0,63;-3,12;1,0;5,4;0,0;5,52;1,4;1,19;0,07;0,53;0,4;11,41;21,56;13,85;7,38;3;False
KEPL3;0,7444430329883042;0,601056621827486;0,6655805068498541;Máq. e Equip. Industriais;Máquinas e Equipamentos;Bens Industriais;KEPLER WEBER;98,04;21,28;8,78;-0,43;-0,38;-0,19;4,89;4,36;1,06;1,4;2,14;30,43;19,7;22,06;15,27;1,11;-3,66;3,01;5,32;4,75;6,86;1,05;2,29;-1,46;0,49;0,51;16,24;33,38;22,67;4,2;3;False
DEXP4;0,7321284400121102;0,6102847299494085;0,6651143994776243;Petroquímicos;Químicos;Materiais Básicos;DEXXOS PARTICIPACOES S.A.;88,87;18,88;8,6;-0,55;-0,48;-0,13;3,42;3,01;1,15;1,5;3,61;19,7;13,27;15,08;9,38;0,62;-1,71;1,33;4,03;3,55;5,7;0,54;0,98;2,29;0,63;0,37;10,79;17,16;18,48;8,72;4;False
DEXP3;0,7246823344261967;0,6052242414883061;0,6589803833103569;Petroquímicos;Químicos;Materiais Básicos;DEXXOS PARTICIPACOES S.A.;88,87;18,88;6,32;-0,55;-0,48;-0,13;3,42;3,01;1,15;1,5;3,61;19,7;13,27;15,08;9,38;0,61;-1,69;1,31;3,97;3,49;5,62;0,53;0,96;2,26;0,63;0,37;10,79;17,16;18,48;8,72;3;False
PRIO3;0,6280638555225451;0,6528755956321178;0,6417103125828101;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;PETRO RIO;88,69;69,58;0,0;1,0;0,78;0,42;5,36;4,18;0,33;5,47;5,01;53,91;54,7;70,18;34,74;0,78;-1,29;2,44;4,37;3,4;6,88;2,39;1,85;0,92;0,42;0,58;11,32;26,94;16,68;20,3;3;False
SCAR3;0,6297068626741625;0,6157827257007671;0,6220485873387951;Exploração de Imóveis;Exploração de Imóveis;Financeiro e Outros;SÃO CARLOS;73,93;30,55;19,98;2,86;2,55;0,68;5,38;4,79;0,37;4,32;3,47;46,45;35,66;40,01;22,21;0,33;-0,42;2,25;2,52;2,24;4,04;0,9;0,6;0,01;0,55;0,44;8,27;14,92;12,55;28,93;3;False
MTSA4;0,6858770765557601;0,5471133580560988;0,6095570313809464;Máq. e Equip. Construção e Agrícolas;Máquinas e Equipamentos;Bens Industriais;METISA;22,6;16,17;4,89;-3,49;-2,67;-0,33;8,69;6,67;0,82;5,15;3,93;21,73;8,92;11,64;9,39;0,64;-2,96;1,1;8,73;6,7;8,3;0,78;0,82;-0,17;0,78;0,22;7,72;9,87;3,58;52,17;4;False
EUCA4;0,6658142036700007;0,5594793240250007;0,6073300198652507;Madeira;Madeira e Papel;Materiais Básicos;EUCATEX;68,52;16,23;5,51;1,43;1,06;0,21;4,92;3,63;0,62;4,25;1,97;32,66;13,79;18,72;14,23;0,28;-0,44;1,48;3,24;2,39;3,14;0,45;0,48;0,07;0,58;0,42;8,77;15,24;9,6;27,91;4;False
STBP3;0,6743701557289168;0,5521880054331669;0,6071699730662544;Serviços de Apoio e Armazenagem;Transporte;Bens Industriais;SANTOS BRASIL;118,21;24,45;5,72;1,67;1,39;3,02;11,16;9,32;0,5;0,88;1,18;56,33;43,01;51,53;27,37;2,05;-2,59;62,72;9,49;7,92;14,92;4,08;17,16;0,17;0,12;0,88;13,73;115,02;25,79;0,77;3;False
BMOB3;0,6610935892581468;0,5595549718012673;0,6052473496568631;Programas e Serviços;Programas e Serviços;Tecnologia da Informação;BEMOBI MOBILE TECH S.A.;5,96;55,72;4,48;-5,14;-3,3;-0,49;5,96;3,82;0,96;1,39;3,28;22,89;7,66;11,94;8,23;0,81;-2,28;1,82;11,1;7,13;10,33;0,85;1,06;0,14;0,77;0,23;7,89;10,26;5,84;13,55;3;False
ALOS3;0,6246416834428424;0,5822844320933157;0,6013451952006028;Exploração de Imóveis;Exploração de Imóveis;Financeiro e Outros;ALIANSCSONAE;32,24;48,62;8,92;-4,92;-3,38;-0,42;3,85;2,65;0,09;1,41;2,23;72,96;43,47;63,18;28,02;0,35;-0,46;2,79;8,76;6,03;13,59;3,81;0,75;-0,18;0,47;0,5;2,58;5,49;7,37;25,68;3;False
EUCA3;0,6566137094935809;0,5544625954017263;0,6004305967430609;Madeira;Madeira e Papel;Materiais Básicos;EUCATEX;68,52;16,23;4,08;1,43;1,06;0,21;4,92;3,63;0,62;4,25;1,97;32,66;13,79;18,72;14,23;0,34;-0,54;1,82;3,98;2,93;3,86;0,55;0,59;0,09;0,58;0,42;8,77;15,24;9,6;27,91;3;False
WLMM4;0,662728939431103;0,5487489506141238;0,6000399455817644;Material de Transporte;Comércio;Bens Industriais;WLM INDÚSTRIA E COMÉRCIO;54,05;25,9;4,52;0,47;0,46;0,14;5,16;5,05;2,85;3,83;2,55;11,25;6,76;6,92;4,26;0,97;-2,54;2,59;5,04;4,93;8,01;0,34;1,47;0,25;0,66;0,34;12,15;18,33;15,14;20,9;4;False
RDOR3;0,699971964819871;0,5140471483137995;0,5977133157415317;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde;REDE D OR SÃO LUIZ S.A.;25,83;33,63;2,17;0,07;0,06;0,02;9,48;7,88;0,51;1,61;2,89;18,72;14,6;17,58;7,44;0,7;-1,37;2,16;9,41;7,82;18,46;1,37;2,78;0,13;0,25;0,73;3,77;15,08;10,63;10,69;3;False
BAZA3;0,589782940329748;0,5902456544964069;0,5900374331214104;Bancos;Intermediários Financeiros;Financeiro e Outros;BANCO AMAZONIA;64,26;25,91;7,36;0,0;0,0;0,0;3,5;0,0;0,09;23,27;0,0;14,51;31,41;0,0;28,37;0,1;-0,1;2,51;3,5;0,0;3,87;1,1;0,78;0,42;0,13;0,87;2,55;20,19;0,0;115,26;3;False
SHUL4;0,6593774199783154;0,5303228411599384;0,5883974016282081;Motores . Compressores e Outros;Máquinas e Equipamentos;Bens Industriais;SCHULZ;31,11;15,26;7,94;-0,71;-0,58;-0,15;17,65;14,3;0,77;0,76;3,18;25,81;15,13;18,66;14,0;0,85;-2,58;1,85;7,27;5,9;7,86;1,1;1,53;-0,65;0,56;0,44;10,82;19,42;12,59;3,92;4;False
SMTO3;0,669102641194936;0,5169396238248827;0,5854129816414066;Açucar e Alcool;Alimentos Processados;Consumo não Cíclico;SÃO MARTINHO;28,0;15,45;5,95;2,7;0,0;0,91;5,95;0,0;0,39;3,25;2,18;23,59;29,54;0,0;13,75;0,37;-0,53;2,23;3,25;0,0;6,98;0,96;1,1;0,9;0,34;0,66;5,3;15,72;12,9;20,64;3;False
RSUL4;0,6478596766969578;0,5330239898698937;0,5847000489420726;Material Rodoviário;Material de Transporte;Bens Industriais;METALURGICA RIOSULENSE;35,69;18,65;3,38;-0,38;-0,35;-0,14;1,51;1,4;0,95;9,12;2,42;41,56;22,68;24,44;15,09;0,99;-2,14;3,12;4,59;4,26;6,9;1,04;1,73;-0,78;0,57;0,43;14,29;25,08;23,55;36,35;4;False
TTEN3;0,6438306717134403;0,5295794123387793;0,5809924790573768;Agricultura;Agropecuária;Consumo não Cíclico;TRÊS TENTOS AGROINDUSTRIAL SA;44,75;36,65;0,8;0,31;0,29;0,08;7,41;6,87;1,41;1,6;1,73;18,95;8,62;9,29;6,63;0,86;-2,75;2,96;7,1;6,58;9,23;0,61;1,87;0,34;0,46;0,54;9,32;20,3;13,93;7,87;3;False
INTB3;0,6558282185340568;0,5128797732886126;0,5772065736490625;Computadores e Equipamentos;Computadores e Equipamentos;Tecnologia da Informação;INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA;29,27;23,3;3,23;-0,27;-0,25;-0,05;8,33;7,6;0,78;1,79;2,05;30,29;12,4;13,59;12,67;0,83;-3,45;2,13;8,6;7,85;8,42;1,07;1,74;0,67;0,48;0,52;9,86;20,62;14,71;8,68;3;False
BRAP3;0,6311924778460072;0,5325425054232127;0,5769349930134703;Minerais Metálicos;Mineração;Materiais Básicos;BRADESPAR;8,66;0,0;13,13;-0,17;0,0;-0,03;3,62;0,0;0,0;4,59;5,41;0,0;0,0;0,0;0,0;0,73;-0,76;25,92;3,57;0,0;3,46;0,0;0,74;-0,23;0,99;0,01;21,19;21,33;20,63;21,5;3;False
BRAP4;0,6284629743884581;0,5317747274686829;0,5752844385825817;Minerais Metálicos;Mineração;Materiais Básicos;BRADESPAR;8,66;0,0;13,23;-0,17;0,0;-0,03;3,62;0,0;0,0;4,59;5,41;0,0;0,0;0,0;0,0;0,8;-0,83;28,38;3,9;0,0;3,78;0,0;0,81;-0,25;0,99;0,01;21,19;21,33;20,63;21,5;4;False
CMIN3;0,628686749513944;0,5288885150723919;0,5737977205710904;Minerais Metálicos;Mineração;Materiais Básicos;CSN MINERAÇÃO S.A.;29,52;21,15;14,51;-1,06;0,0;-0,64;4,36;0,0;0,5;0,71;1,78;51,31;31,6;0,0;22,53;0,85;-1,65;4,04;5,42;0,0;7,6;1,71;3,29;0,3;0,26;0,74;11,23;43,27;24,02;1,63;3;False
POMO3;0,6362758767412263;0,521082951814142;0,57291976803133;Material Rodoviário;Material de Transporte;Bens Industriais;MARCOPOLO;44,07;9,75;9,64;0,86;0,79;0,29;7,38;6,78;0,89;1,02;1,78;24,72;16,08;17,51;14,53;0,77;-1,95;2,93;5,42;4,98;6,0;0,87;1,79;0,13;0,43;0,56;12,91;29,91;16,94;3,41;3;False
VAMO3;0,624104953742074;0,531024220125074;0,5729105502527241;Máq. e Equip. Construção e Agrícolas;Máquinas e Equipamentos;Bens Industriais;VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP.;43,8;45,32;5,81;4,66;3,52;2,12;6,77;5,12;0,28;0,64;1,78;45,7;33,62;44,47;9,87;0,2;-0,3;1,42;2,11;1,6;7,19;0,71;0,96;0,96;0,21;0,79;2,79;13,35;11,38;4,81;3;False
VLID3;0,6358733838259436;0,5156501601784473;0,5697506108198207;Serviços Diversos;Serviços;Bens Industriais;VALID;28,71;5,4;6,84;0,11;0,1;0,03;4,49;4,04;0,78;4,32;2,87;36,36;21,93;24,36;15,95;0,75;-1,6;2,19;4,38;3,94;6,02;0,96;1,26;0,08;0,6;0,39;12,52;20,92;18,81;20,64;3;False
RECV3;0,5204452605610109;0,6067640131974354;0,5679205745110445;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;PETRORECÔNCAVO S.A.;51,99;56,51;17,05;0,28;0,0;0,05;6,31;0,0;0,4;2,02;1,98;34,27;25,24;0,0;19,03;0,61;-0,83;4,78;6,03;0,0;8,0;1,52;1,04;-0,22;0,59;0,41;7,68;12,94;10,91;15,59;3;False
POMO4;0,6171771772547033;0,5104286687899339;0,5584654975990802;Material Rodoviário;Material de Transporte;Bens Industriais;MARCOPOLO;44,07;9,75;7,33;0,86;0,79;0,29;7,38;6,78;0,89;1,02;1,78;24,72;16,08;17,51;14,53;1,02;-2,56;3,86;7,13;6,55;7,89;1,15;2,36;0,17;0,43;0,56;12,91;29,91;16,94;3,41;4;False
GGBR3;0,6035264036186337;0,5169770201559433;0,555924242714154;Siderurgia;Siderurgia e Metalurgia;Materiais Básicos;GERDAU;32,02;11,07;5,24;0,73;0,53;0,09;5,11;3,71;0,75;2,35;3,01;11,06;11,38;15,66;7,44;0,36;-0,58;1,44;4,25;3,09;6,5;0,48;0,54;-0,16;0,67;0,33;5,56;8,3;9,14;28,34;3;False
GOAU4;0,6037174757583443;0,5162347366816374;0,5556019692661556;Siderurgia;Siderurgia e Metalurgia;Materiais Básicos;METALURGICA GERDAU;31,08;11,07;5,06;0,71;0,53;0,09;1,94;1,43;0,75;1,65;3,01;13,58;11,35;15,42;2,53;0,1;-0,16;0,41;1,21;0,89;5,41;0,14;0,15;-0,13;0,67;0,33;1,89;2,82;8,89;58,27;4;False
GOAU3;0,602385986848894;0,5155633764813693;0,5546335511467555;Siderurgia;Siderurgia e Metalurgia;Materiais Básicos;METALURGICA GERDAU;31,08;11,07;4,9;0,71;0,53;0,09;1,94;1,43;0,75;1,65;3,01;13,58;11,35;15,42;2,53;0,11;-0,17;0,42;1,25;0,92;5,58;0,14;0,16;-0,14;0,67;0,33;1,89;2,82;8,89;58,27;3;False
GGBR4;0,6014210351132299;0,5159238868404125;0,5543976035631804;Siderurgia;Siderurgia e Metalurgia;Materiais Básicos;GERDAU;32,02;11,07;4,99;0,73;0,53;0,09;5,11;3,71;0,75;2,35;3,01;11,06;11,38;15,66;7,44;0,38;-0,61;1,51;4,46;3,24;6,82;0,51;0,57;-0,17;0,67;0,33;5,56;8,3;9,14;28,34;4;False
EALT4;0,6038429694193626;0,5113605898311772;0,5529776606458606;Máq. e Equip. Industriais;Máquinas e Equipamentos;Bens Industriais;ELECTRO ACO ALTONA;40,87;14,94;3,79;1,2;0,94;0,37;4,73;3,72;0,9;3,02;1,17;28,54;15,7;19,96;12,3;0,49;-0,88;7,76;3,47;2,73;4,43;0,55;1,08;0,04;0,45;0,55;11,03;24,31;18,25;12,43;4;False
GEPA4;0,5781802484003787;0,5250234316960997;0,5489439992130253;Energia Elétrica;Energia Elétrica;Utilidade Pública;RIO PARANAPANEMA;26,61;1,08;20,15;1,35;0,77;0,22;9,45;5,44;0,4;8,82;0,54;13,64;24,48;42,52;59,3;0,79;-0,91;-7,05;8,17;4,71;3,37;2,0;1,32;0,02;0,6;0,4;23,45;39,21;10,36;22,48;4;False
TGMA3;0,6108920878627903;0,4935707388774678;0,5463653459208629;Transporte Rodoviário;Transporte;Bens Industriais;TEGMA GESTÃO LOGÍSTICA;16,85;4,78;8,21;-0,31;-0,32;-0,11;6,6;6,65;1,49;3,57;2,8;20,87;16,42;16,29;12,29;1,69;-3,66;4,9;6,91;6,97;9,24;1,14;2,44;0,35;0,69;0,31;18,32;26,44;25,02;13,51;3;False
GGPS3;0,596174315021339;0,5034523269114664;0,5451772215609091;Logística;Transporte;Bens Industriais;GPS PARTICIPACOES E EMPREENDIMENTOS S.A.;27,32;26,58;2,12;1,6;0,0;0,58;9,82;0,0;0,94;1,0;2,33;16,04;9,12;0,0;4,97;0,7;-1,5;2,3;8,22;0,0;15,09;0,75;2,95;1,14;0,24;0,76;4,65;19,58;11,06;5,09;3;False
GMAT3;0,5854714272849182;0,5084754087126881;0,5431236170701916;Alimentos;Comércio e Distribuição;Consumo não Cíclico;GRUPO MATEUS S.A.;34,74;31,22;2,79;1,57;1,34;0,34;9,4;8,0;1,73;0,59;2,09;22,34;6,45;7,59;4,29;0,87;-2,24;2,73;7,83;6,66;11,77;0,51;1,68;0,74;0,52;0,48;7,41;14,3;14,15;4,12;3;False
EMAE4;0,509001737311199;0,5674228823194427;0,541133367065733;Energia Elétrica;Energia Elétrica;Utilidade Pública;EMAE - EMPRESA METROP.AGUAS ENERGIA;7,3;13,78;3,86;-4,71;-4,21;-0,35;18,1;16,15;0,29;3,91;7,38;28,37;14,0;15,69;23,41;0,73;-1,26;1,97;18,08;16,14;10,81;2,53;1,36;0,19;0,53;0,47;6,71;12,55;5,79;31,13;4;False
KLBN4;0,5732245216318299;0,5123456939828137;0,539741166424871;Papel e Celulose;Madeira e Papel;Materiais Básicos;KLABIN;71,91;12,47;5,78;7,08;4,76;2,9;13,38;8,99;0,32;0,33;2,3;35,44;21,64;32,22;10,93;0,43;-0,57;3,19;6,26;4,21;12,4;1,36;2,56;-0,44;0,17;0,8;3,5;20,66;7,32;1,62;4;False
KLBN3;0,569139621625693;0,5107729802883315;0,5370379688901442;Papel e Celulose;Madeira e Papel;Materiais Básicos;KLABIN;71,91;12,47;5,51;7,08;4,76;2,9;13,38;8,99;0,32;0,33;2,3;35,44;21,64;32,22;10,93;0,46;-0,6;3,35;6,58;4,42;13,02;1,42;2,69;-0,46;0,17;0,8;3,5;20,66;7,32;1,62;3;False
MILS3;0,5916870425825017;0,49198735241527547;0,5368522129905273;Serviços Diversos;Serviços;Bens Industriais;MILLS;0,0;35,27;6,74;1,96;1,35;0,67;6,29;4,33;0,42;1,24;2,15;62,87;33,08;48,08;19,22;0,6;-0,94;3,17;4,34;2,98;7,46;1,43;1,48;0,4;0,41;0,59;8,09;19,83;12,47;6,25;3;False
GRND3;0,5403414107180365;0,5338530438554074;0,5367728089435906;Calçados;Tecidos. Vestuário e Calçados;Consumo Cíclico;GRENDENE;2,36;0,84;7,53;-2,78;-2,07;-0,29;9,37;6,97;0,59;0,73;7,23;46,11;15,97;21,47;26,0;1,15;-3,51;1,98;12,15;9,04;7,46;1,94;1,27;0,27;0,9;0,1;15,4;17,07;9,92;4,27;3;False
TECN3;0,5469855283252091;0,5231907808566709;0,5338984172175132;Acessórios;Tecidos. Vestuário e Calçados;Consumo Cíclico;TECHNOS;34,8;2,29;4,1;-0,27;0,0;-0,04;5,55;0,0;0,54;1,0;4,17;55,13;17,16;0,0;17,09;0,54;-1,63;1,06;5,82;0,0;5,84;1,0;0,92;0,28;0,58;0,42;9,22;15,82;9,62;6,3;3;False
VULC3;0,5341105371599807;0,528513934079507;0,5310324054657202;Calçados;Tecidos. Vestuário e Calçados;Consumo Cíclico;VULCABRAS;29,09;17,67;11,47;-0,19;-0,16;-0,05;7,8;6,61;0,96;1,99;2,87;42,23;19,42;22,91;18,59;1,49;-5,59;3,13;7,98;6,77;8,34;1,55;2,22;-2,46;0,67;0,33;17,92;26,61;22,0;7,46;3;False
FRAS3;0,5800455115169882;0,49029942607367;0,5306851645231633;Material Rodoviário;Material de Transporte;Bens Industriais;FRAS-LE;28,07;24,32;2,73;0,72;0,57;0,15;15,69;12,31;0,81;1,19;2,26;31,64;11,92;15,2;8,93;1,45;-3,85;4,18;14,97;11,74;19,98;1,78;3,14;-20,38;0,46;0,53;7,26;15,71;8,45;7,58;3;False
CAML3;0,5923954444365616;0,47898330297951935;0,5300187666351883;Alimentos Diversos;Alimentos Processados;Consumo não Cíclico;CAMIL;-4,63;18,83;4,66;4,79;0,0;0,96;7,25;0,0;1,16;0,82;2,16;15,02;4,99;0,0;2,31;0,14;-0,36;0,45;2,46;0,0;5,31;0,12;0,49;-0,12;0,29;0,71;2,69;9,26;6,63;8,82;3;False
CAMB3;0,5398037043466473;0,5213962259412446;0,5296795912236758;Calçados;Tecidos. Vestuário e Calçados;Consumo Cíclico;CAMBUCI;34,98;13,16;6,23;-0,46;-0,41;-0,16;4,19;3,71;1,14;1,76;2,38;48,72;21,35;24,16;16,39;1,14;-2,32;3,83;4,65;4,11;6,06;0,99;1,6;-2,08;0,71;0,29;18,73;26,33;28,65;6,7;3;False
FESA4;0,5751379570406346;0,491523261829909;0,5291498746747356;Siderurgia;Siderurgia e Metalurgia;Materiais Básicos;FERBASA;-3,66;12,01;6,8;-3,21;-1,45;-0,16;17,2;7,79;0,5;0,73;3,24;16,15;7,54;16,66;11,8;0,63;-1,08;2,18;16,7;7,56;10,67;1,26;0,81;-0,23;0,77;0,22;5,9;7,63;3,89;9,51;4;False
MELK3;0,5382332887346247;0,5214081262682828;0,5289794493781367;Incorporações;Construção Civil;Consumo Cíclico;MELNICK EVEN DESENVOLVIMENTO IMOBILIÁRIO S.A.;10,45;14,88;10,56;-1,94;-2,1;-0,14;7,06;7,65;0,4;0,4;2,76;22,69;8,55;7,89;8,19;0,31;-1,75;0,59;9,0;9,75;9,4;0,77;0,65;0,63;0,48;0,47;3,3;6,9;4,71;5,85;3;False
AGRO3;0,5843541705388077;0,48207114666484085;0,5280985074081259;Agricultura;Agropecuária;Consumo não Cíclico;BRASILAGRO;9,64;13,78;7,42;2,35;1,55;0,39;8,31;5,48;0,35;2,73;2,09;39,35;28,63;43,41;22,21;0,6;-0,86;3,77;5,96;3,93;7,68;1,71;0,99;1,19;0,6;0,4;7,78;12,87;9,6;21,23;3;False
CSUD3;0,5796603070843114;0,483973255095054;0,5270324284902199;Serviços Diversos;Serviços;Bens Industriais;CSU DIGITAL S.A.;23,14;4,78;6,41;-0,01;-0,01;0,0;5,39;3,7;0,83;2,22;1,23;41,44;23,5;34,23;16,66;1,05;-1,45;20,58;5,4;3,71;7,62;1,27;1,53;1,01;0,68;0,32;13,79;20,13;17,66;11,04;3;False
SBFG3;0,5409969703480917;0,5151521787398492;0,5267823349635583;Produtos Diversos;Comércio;Consumo Cíclico;CENTAURO;29,12;25,16;1,64;3,41;0,0;0,73;7,46;0,0;0,84;2,16;1,68;48,55;8,94;0,0;7,42;0,31;-0,67;1,39;4,05;0,0;4,88;0,36;0,86;0,03;0,35;0,65;6,25;17,65;10,29;12,26;3;False
JHSF3;0,5285934156046386;0,519058101686232;0,523348992949515;Incorporações;Construção Civil;Consumo Cíclico;JHSF;28,32;26,82;9,67;2,43;2,31;0,52;4,74;4,5;0,13;0,93;1,92;60,41;71,28;75,16;39,92;0,21;-0,31;1,34;2,31;2,19;4,12;1,65;0,5;0,07;0,42;0,54;5,1;12,05;9,41;7,73;3;False
MDIA3;0,5881722010866789;0,4690455942917873;0,5226525673494886;Alimentos Diversos;Alimentos Processados;Consumo não Cíclico;M.DIAS BRANCO;7,82;9,62;1,01;0,24;0,17;0,03;8,96;6,41;0,78;2,39;2,2;35,19;9,27;12,97;8,16;0,63;-1,19;2,46;8,73;6,24;9,92;0,81;1,01;0,22;0,63;0,37;6,35;10,14;7,76;23,59;3;False
JSLG3;0,5742849270811687;0,4797984735300521;0,5223173776280545;Transporte Rodoviário;Transporte;Bens Industriais;JSL S.A.;14,42;-1,27;7,18;4,84;0,0;3,21;6,21;0,0;0,68;0,9;1,74;17,75;14,11;0,0;2,95;0,13;-0,21;0,82;1,36;0,0;6,52;0,19;0,9;-0,21;0,15;0,85;2,01;13,84;11,69;6,49;3;False
CLSC4;0,5277317015442515;0,5176272113876876;0,5221742319581414;Energia Elétrica;Energia Elétrica;Utilidade Pública;CELESC;32,53;6,3;7,72;2,93;2,21;0,89;5,93;4,46;0,78;17,49;1,31;17,5;9,77;12,98;6,44;0,23;-0,34;3,1;3,05;2,3;4,63;0,3;0,92;0,26;0,25;0,75;5,03;19,94;12,76;87,71;4;False
