ticker;score_sector;score_general;score_final;business_segment;activity_subsector;sector;company_name;crescimento_lucro;crescimento_receita;dividend_yield;Dív. líquida/EBIT;div_liq_ebitda;Dív. líquida/PL;EV/EBIT;EV/EBITDA;Giro ativos;lpa;liq_corrent;M. Bruta;M. EBIT;M. EBITDA;m_liquida;passivos_ativos;P/Ativo Circ. Liq.;P/Cap. Giro;P/EBIT;P/EBITDA;p_l;P/SR;p_vp;PEG Ratio;PL/Ativos;Passivos/Ativos;ROA;roe;ROIC;VPA;number_code;outlier
FLRY3;0,5707366731838309;0,4815792202334821;0,521700074061139;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde;FLEURY;13,1;19,42;5,97;2,48;1,5;0,55;7,9;4,78;0,58;1,12;1,93;27,69;15,66;25,87;8,13;0,49;-0,74;3,02;5,42;3,28;10,44;0,85;1,2;0,16;0,41;0,58;4,71;11,48;9,52;9,76;3;False
CURY3;0,5207074732654131;0,5224856792062742;0,5216854865328867;Incorporações;Construção Civil;Consumo Cíclico;CURY CONSTRUTORA E INCORPORADORA S.A.;37,52;25,68;9,57;-0,42;0,0;-0,3;8,52;0,0;0,94;2,21;2,21;38,41;20,96;0,0;17,4;1,75;-5,22;4,82;8,93;0,0;10,76;1,87;6,39;0,19;0,27;0,69;16,28;59,44;29,63;3,71;3;False
BLAU3;0,5649070232153768;0,4847950586427712;0,5208454427004438;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos;Saúde;BLAU FARMACÊUTICA S.A.;8,7;11,91;3,05;0,44;0,37;0,06;8,51;7,17;0,52;1,04;3,48;35,38;15,77;18,73;11,1;0,66;-1,3;1,9;8,07;6,79;11,47;1,27;1,02;-0,28;0,65;0,36;5,77;8,92;8,01;11,69;3;False
CGAS5;0,5290898868822873;0,5137480468578651;0,5206518748688551;Gás;Gás;Utilidade Pública;COMGAS;16,06;17,25;16,93;2,19;1,81;4,75;7,41;6,13;1,07;21,29;1,11;20,2;20,03;24,22;18,54;1,22;-1,82;35,67;5,7;4,71;6,15;1,14;12,35;0,01;0,1;0,9;19,81;200,7;30,61;10,61;5;False
ETER3;0,5702559493428333;0,47812009364965824;0,5195812287115871;Produtos para Construção;Construção e Engenharia;Bens Industriais;ETERNIT;0,0;16,03;4,59;1,72;0,98;0,13;7,23;4,13;0,89;1,84;2,05;22,54;5,32;9,32;9,81;0,26;-0,46;1,16;5,51;3,14;2,99;0,29;0,43;0,03;0,61;0,39;8,69;14,3;-0,94;12,86;3;False
LUPA3;0,5100156079231706;0,52685655606234;0,5192781293997139;Equipamentos e Serviços;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;LUPATECH;0,0;-7,38;0,0;-6,9;-9,45;1,21;-9,43;-12,91;0,26;1,38;1,14;21,84;-17,54;-12,82;48,48;0,12;-0,16;3,51;-2,53;-3,46;0,92;0,44;0,44;0,01;0,26;0,74;12,62;48,27;-8,59;2,85;3;False
FIQE3;0,5847688507805547;0,46494205583506404;0,5188641135605349;Telecomunicações;Telecomunicações;Comunicações;UNIFIQUE TELECOMUNICAÇÕES S.A.;0,0;0,0;7,39;0,23;0,13;0,05;5,08;2,82;0,44;0,75;1,62;38,76;25,99;46,71;27,26;0,55;-0,82;4,51;4,85;2,7;4,62;1,26;1,07;0,04;0,52;0,48;12,0;23,13;12,45;3,23;3;False
VALE3;0,5646815323542744;0,4807664120455495;0,5185282161844758;Minerais Metálicos;Mineração;Materiais Básicos;VALE;0,0;7,33;9,24;0,92;0,72;0,3;4,63;3,63;0,43;10,63;1,03;39,06;33,54;42,81;22,86;0,53;-0,64;108,67;3,72;2,91;5,45;1,25;1,23;3,53;0,43;0,57;9,72;22,58;20,49;47,09;3;False
TUPY3;0,5678283892801972;0,47792438879901433;0,5183811890155466;Material Rodoviário;Material de Transporte;Bens Industriais;TUPY;4,23;18,68;7,4;2,87;1,96;0,63;6,55;4,48;0,95;2,32;2,23;17,77;7,57;11,06;3,1;0,27;-0,73;0,76;3,69;2,52;9,01;0,28;0,81;-0,5;0,33;0,67;2,95;9,01;8,93;25,72;3;False
OFSA3;0,5581018099530011;0,48260710744381824;0,5165797235729506;Medicamentos e Outros Produtos;Comércio e Distribuição;Saúde;OURO FINO SAÚDE ANIMAL;5,75;9,87;4,92;0,67;0,54;0,14;7,42;5,93;0,73;1,69;3,51;48,5;15,46;19,34;9,5;0,76;-2,13;1,67;6,75;5,4;10,99;1,04;1,37;-0,02;0,56;0,44;6,96;12,49;9,45;13,51;3;False
NUTR3;0,5662261938810413;0,47351006179472555;0,5152323212335677;Fertilizantes e Defensivos;Químicos;Materiais Básicos;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;0,0;28,54;0,0;0,55;0,52;0,21;3,52;3,34;1,6;0,58;1,72;18,25;8,34;8,79;4,04;0,4;-1,46;1,29;2,97;2,82;6,13;0,25;1,15;0,06;0,34;0,66;6,45;18,82;24,74;3,06;3;False
BPAC5;0,5005029875242444;0,526436289666503;0,5147663037024867;Bancos;Intermediários Financeiros;Financeiro e Outros;BTG;53,55;26,97;3,53;0,0;0,0;0,0;9,81;0,0;0,05;0,95;0,01;58,69;41,21;0,0;34,95;0,15;-0,15;-0,2;7,25;0,0;8,55;2,99;1,59;0,36;0,1;0,89;1,78;18,58;0,0;5,11;5;False
CMIG4;0,514042912190207;0,5153454311304005;0,5147592976073134;Energia Elétrica;Energia Elétrica;Utilidade Pública;CEMIG;31,19;10,6;12,74;0,72;0,64;0,27;4,2;3,72;0,61;2,31;1,04;21,82;27,02;30,55;17,12;0,51;-0,69;47,29;3,07;2,72;4,85;0,83;1,14;-4,4;0,45;0,55;10,49;23,55;19,5;9,81;4;False
WHRL3;0,5230823828142264;0,5064856840781251;0,5139541985093707;Eletrodomésticos;Comércio;Consumo Cíclico;WHIRLPOOL;25,53;13,15;9,78;-1,65;-1,27;-0,68;4,12;3,15;1,29;0,37;1,07;17,22;8,25;10,79;4,49;0,6;-2,05;12,31;5,64;4,31;10,36;0,47;2,33;0,18;0,26;0,74;5,81;22,52;29,08;1,66;3;False
RAPT3;0,5557690162920625;0,478035325204796;0,513015486194066;Material Rodoviário;Material de Transporte;Bens Industriais;RANDON;17,93;20,63;4,4;3,53;2,75;0,94;6,06;4,73;0,8;1,05;1,9;25,94;10,35;13,26;3,09;0,2;-0,47;0,7;2,35;1,83;7,87;0,24;0,62;-0,47;0,31;0,69;2,48;7,93;7,76;13,26;3;False
CGRA3;0,5183909199085344;0,5081698132969903;0,5127693112721852;Tecidos. Vestuário e Calçados;Comércio;Consumo Cíclico;GRAZZIOTIN;10,72;7,88;10,64;-2,5;0,0;-0,19;5,14;0,0;0,56;4,29;2,8;50,66;9,81;0,0;12,52;0,41;-0,73;1,49;7,51;0,0;5,89;0,74;0,56;1,39;0,73;0,27;7,03;9,58;6,72;44,78;3;False
MTRE3;0,5076250451401073;0,5169476970874121;0,5127525037111249;Incorporações;Construção Civil;Consumo Cíclico;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;23,11;43,88;12,51;5,09;4,65;0,39;9,34;8,53;0,53;0,42;2,48;22,39;7,09;7,76;3,98;0,16;-0,88;0,32;4,25;3,88;7,57;0,3;0,32;-0,15;0,49;0,51;2,09;4,25;3,22;9,81;3;False
WHRL4;0,5203976413963683;0,5055999822850569;0,5122589288851471;Eletrodomésticos;Comércio;Consumo Cíclico;WHIRLPOOL;25,53;13,15;10,01;-1,65;-1,27;-0,68;4,12;3,15;1,29;0,37;1,07;17,22;8,25;10,79;4,49;0,65;-2,2;13,23;6,06;4,64;11,13;0,5;2,51;0,19;0,26;0,74;5,81;22,52;29,08;1,66;4;False
CGRA4;0,5174209152546578;0,5072805263976308;0,5118437013832929;Tecidos. Vestuário e Calçados;Comércio;Consumo Cíclico;GRAZZIOTIN;10,72;7,88;10,36;-2,5;0,0;-0,19;5,14;0,0;0,56;4,29;2,8;50,66;9,81;0,0;12,52;0,42;-0,75;1,53;7,72;0,0;6,05;0,76;0,58;1,43;0,73;0,27;7,03;9,58;6,72;44,78;4;False
ODPV3;0,5666505642999567;0,4659007652891745;0,5112381748440266;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde;ODONTOPREV;13,62;5,88;12,4;-0,88;-0,83;-0,48;8,43;7,9;0,96;0,98;0,79;32,07;31,11;33,18;24,22;2,79;-4,05;-34,28;9,31;8,73;11,96;2,9;5,04;1,24;0,55;0,45;23,35;42,17;36,77;2,31;3;False
TOTS3;0,5531534985954888;0,47545480174941884;0,5104192153301503;Programas e Serviços;Programas e Serviços;Tecnologia da Informação;TOTVS;27,88;18,01;1,29;-0,32;-0,23;-0,06;23,5;17,12;0,61;1,2;2,42;69,48;16,79;23,05;13,73;2,45;-3,62;12,9;23,82;17,35;29,12;4,0;4,19;-12,36;0,58;0,42;8,41;14,39;11,82;8,32;3;False
BGIP4;0,4809492780095252;0,5342173078765974;0,5102466944364149;Bancos;Intermediários Financeiros;Financeiro e Outros;BANCO BANESE;18,7;13,8;18,34;0,0;0,0;0,0;2,29;0,0;0,12;7,55;0,8;39,62;17,0;0,0;11,8;0,05;-0,09;-0,37;2,25;0,0;3,25;0,38;0,67;0,02;0,07;0,93;1,45;20,62;0,0;36,61;4;False
RAPT4;0,5516433894535319;0,4760026626478185;0,5100409897103896;Material Rodoviário;Material de Transporte;Bens Industriais;RANDON;17,93;20,63;3,93;3,53;2,75;0,94;6,06;4,73;0,8;1,05;1,9;25,94;10,35;13,26;3,09;0,22;-0,53;0,79;2,63;2,05;8,81;0,27;0,7;-0,53;0,31;0,69;2,48;7,93;7,76;13,26;4;False
LJQQ3;0,5185126123478728;0,4999574422805117;0,5083072688108242;Produtos Diversos;Comércio;Consumo Cíclico;LOJAS QUERO-QUERO S/A;22,7;15,23;4,65;-0,58;-0,3;-0,15;2,48;1,3;0,71;0,28;1,73;34,73;5,47;10,43;2,08;0,12;-0,41;0,4;3,07;1,61;8,05;0,17;0,77;-0,03;0,15;0,85;1,48;9,58;11,9;2,89;3;False
HYPE3;0,562842078099283;0,4632862181146751;0,5080863551077487;Medicamentos e Outros Produtos;Comércio e Distribuição;Saúde;HYPERA;6,79;16,27;4,99;3,12;2,81;0,58;8,56;7,72;0,3;2,48;1,81;60,95;29,18;32,39;20,16;0,48;-0,72;3,14;5,45;4,91;7,88;1,59;1,01;-0,7;0,47;0,53;6,06;12,84;9,51;19,28;3;False
ABEV3;0,5594516207452463;0,4640601064951711;0,506986287907705;Cervejas e Refrigerantes;Bebidas;Consumo não Cíclico;AMBEV;4,87;9,68;5,98;-0,89;-0,67;-0,18;8,04;6,02;0,56;0,88;1,2;50,98;23,92;31,92;16,92;1,2;-1,68;25,15;8,93;6,69;12,62;2,14;1,79;-1,67;0,67;0,33;9,47;14,21;16,38;6,23;3;False
AZZA3;0,5122942634646737;0,5011529280956464;0,5061665290117087;Tecidos. Vestuário e Calçados;Comércio;Consumo Cíclico;AZZAS 2154;30,06;25,99;3,6;2,26;1,6;0,22;10,79;7,66;0,43;2,57;1,78;41,19;11,72;16,51;8,29;0,43;-0,77;2,21;8,53;6,06;12,06;1,0;0,81;0,32;0,53;0,47;3,56;6,75;6,81;38,09;3;False
MDNE3;0,5095288749863393;0,5022573239186713;0,5055295218991219;Incorporações;Construção Civil;Consumo Cíclico;MOURA DUBEUX ENGENHARIA S/A;0,0;26,18;5,18;0,27;0,25;0,04;4,66;4,47;0,37;2,83;2,71;34,44;16,33;17,01;16,17;0,27;-0,5;0,91;4,39;4,21;4,43;0,72;0,69;0,05;0,39;0,61;6,03;15,46;10,0;18,3;3;False
BGIP3;0,4752726652429047;0,5291940990132157;0,5049294538165757;Bancos;Intermediários Financeiros;Financeiro e Outros;BANCO BANESE;18,7;13,8;16,21;0,0;0,0;0,0;2,29;0,0;0,12;7,55;0,8;39,62;17,0;0,0;11,8;0,05;-0,1;-0,38;2,32;0,0;3,34;0,39;0,69;0,02;0,07;0,93;1,45;20,62;0,0;36,61;3;False
FESA3;0,5392378389389123;0,4765175027193067;0,5047416540181292;Siderurgia;Siderurgia e Metalurgia;Materiais Básicos;FERBASA;-3,66;12,01;3,71;-3,21;-1,45;-0,16;17,2;7,79;0,5;0,73;3,24;16,15;7,54;16,66;11,8;1,05;-1,8;3,64;27,83;12,6;17,78;2,1;1,36;-0,38;0,77;0,22;5,9;7,63;3,89;9,51;3;False
VBBR3;0,4692559032705093;0,5295342248590462;0,5024089801442047;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;VIBRA ENERGIA S.A.;23,45;10,76;8,91;0,73;0,7;0,46;2,26;2,16;3,61;8,18;2,5;5,06;7,55;7,87;5,33;0,42;-0,86;1,34;1,52;1,46;2,16;0,11;0,97;0,01;0,43;0,57;19,26;44,82;27,06;18,25;3;False
ECOR3;0,5363994307189635;0,4704105284911169;0,5001055344936478;Exploração de Rodovias;Transporte;Bens Industriais;ECORODOVIAS;18,62;22,79;3,7;4,56;3,57;4,05;5,66;4,43;0,34;1,26;0,83;39,8;34,31;43,83;9,03;0,13;-0,16;-3,24;1,09;0,86;4,16;0,38;0,97;0,07;0,13;0,87;3,06;23,39;10,71;5,4;3;False
JALL3;0,565177270349142;0,4425615731464732;0,49773863688767417;Açucar e Alcool;Alimentos Processados;Consumo não Cíclico;JALLES MACHADO S.A.;0,0;20,16;1,52;4,46;0,0;1,42;6,49;0,0;0,33;-0,11;2,88;38,39;30,26;0,0;-1,59;0,2;-0,29;0,97;2,04;0,0;-38,87;0,62;0,65;0,15;0,31;0,69;-0,52;-1,67;8,83;6,84;3;False
DIRR3;0,49542421846618706;0,4967519163701582;0,4961544523133712;Incorporações;Construção Civil;Consumo Cíclico;DIRECIONAL ENGENHARIA;0,0;15,1;10,28;0,36;0,33;0,11;9,61;8,69;0,32;3,21;3,38;35,49;19,87;21,97;18,19;0,59;-1,08;1,84;9,25;8,36;10,1;1,84;2,73;0,13;0,22;0,76;5,85;27,03;13,63;11,86;3;False
CEBR5;0,4762024593716364;0,512415484992608;0,49611962346317084;Energia Elétrica;Energia Elétrica;Utilidade Pública;CEB;13,87;-32,89;9,4;-3,18;0,0;-0,63;2,68;0,0;0,24;2,39;7,93;54,83;60,99;0,0;49,33;0,81;-1,7;1,78;5,63;0,0;6,96;3,43;1,11;-0,6;0,73;0,1;11,67;16,02;12,08;14,92;5;False
EVEN3;0,4905116186013797;0,4990201528437332;0,4951913124346742;Incorporações;Construção Civil;Consumo Cíclico;EVEN CONSTRUTORA E INCORPORADORA;0,0;15,06;14,8;1,79;1,77;0,25;6,49;6,43;0,55;0,57;3,82;25,48;8,98;9,06;3,92;0,23;-1,23;0,38;4,7;4,66;10,77;0,42;0,66;-0,37;0,35;0,61;2,14;6,09;7,19;9,3;3;False
UNIP5;0,5287056884843374;0,4677186093416672;0,4951627949558688;Químicos Diversos;Químicos;Materiais Básicos;UNIPAR CARBOCLORO;-4,32;7,14;10,83;1,58;0,81;0,17;19,59;9,98;0,59;3,74;2,26;25,94;6,82;13,39;9,54;0,73;-1,4;2,74;18,31;9,33;13,09;1,25;2,01;-0,29;0,36;0,63;5,58;15,33;4,39;24,41;5;False
CMIG3;0,48662698799252;0,5017424488489582;0,49494049146356106;Energia Elétrica;Energia Elétrica;Utilidade Pública;CEMIG;31,19;10,6;9,09;0,72;0,64;0,27;4,2;3,72;0,61;2,31;1,04;21,82;27,02;30,55;17,12;0,71;-0,96;66,26;4,3;3,81;6,79;1,16;1,6;-6,17;0,45;0,55;10,49;23,55;19,5;9,81;3;False
CEBR3;0,4742812963187711;0,5115466293565896;0,49477722948957126;Energia Elétrica;Energia Elétrica;Utilidade Pública;CEB;13,87;-32,89;9,19;-3,18;0,0;-0,63;2,68;0,0;0,24;2,39;7,93;54,83;60,99;0,0;49,33;0,83;-1,74;1,82;5,76;0,0;7,11;3,51;1,14;-0,61;0,73;0,1;11,67;16,02;12,08;14,92;3;False
CEBR6;0,4734532646632137;0,512215084333644;0,4947722654819504;Energia Elétrica;Energia Elétrica;Utilidade Pública;CEB;13,87;-32,89;9,75;-3,18;0,0;-0,63;2,68;0,0;0,24;2,39;7,93;54,83;60,99;0,0;49,33;0,86;-1,8;1,88;5,97;0,0;7,37;3,64;1,18;-0,64;0,73;0,1;11,67;16,02;12,08;14,92;6;False
LEVE3;0,49706935599820923;0,49204792809985953;0,4943075706541169;Automóveis e Motocicletas;Automóveis e Motocicletas;Consumo Cíclico;MAHLE-METAL LEVE;14,93;10,86;8,44;0,63;0,56;0,47;5,18;4,62;1,3;4,32;2,16;29,73;19,6;21,97;13,74;1,16;-3,26;3,35;4,55;4,06;6,49;0,89;3,42;-0,35;0,34;0,66;17,87;52,72;37,4;8,18;3;False
SMFT3;0,49566957645043125;0,4927619343499676;0,4940703732951763;Atividades Esportivas;Viagens e Lazer;Consumo Cíclico;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;20,83;29,62;2,71;1,96;0,9;0,42;12,08;5,52;0,32;1,54;1,75;41,03;21,78;47,67;17,51;0,7;-0,92;6,71;10,12;4,62;12,59;2,2;2,17;0,13;0,32;0,68;5,53;17,22;6,26;8,97;3;False
ABCB4;0,46793794952520573;0,5141287339602783;0,49334288096449563;Bancos;Intermediários Financeiros;Financeiro e Outros;BANCO ABC BRASIL;11,85;20,08;8,17;0,0;0,0;0,0;5,9;0,0;0,1;2,98;2,58;17,76;12,53;0,0;10,94;0,07;-0,08;1,51;5,9;0,0;6,75;0,74;0,77;-0,29;0,09;0,91;1,05;11,43;0,0;26,07;4;False
OPCT3;0,5260782766815677;0,46640994930118923;0,49326069662235955;Transporte Hidroviário;Transporte;Bens Industriais;OCEANPACT SERVICOS MARITIMOS S.A.;0,0;40,48;0,0;3,84;0,0;1,15;8,11;0,0;0,64;0,14;1,33;26,07;15,43;0,0;1,58;0,42;-0,61;5,51;4,27;0,0;41,81;0,66;1,28;-0,63;0,33;0,67;1,0;3,06;9,28;4,44;3;False
ROMI3;0,5397057652251056;0,45441461319737375;0,4927956316098531;Máq. e Equip. Industriais;Máquinas e Equipamentos;Bens Industriais;INDÚSTRIAS ROMI;-2,56;9,77;8,71;4,38;2,85;0,4;12,08;7,85;0,48;1,22;2,07;29,12;9,23;14,2;9,33;0,34;-0,89;1,06;7,69;5,0;7,61;0,71;0,71;-0,25;0,48;0,52;4,47;9,27;5,1;13,19;3;False
PLPL3;0,4922811267281158;0,49240870074231907;0,4923512924359277;Incorporações;Construção Civil;Consumo Cíclico;PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.;0,0;0,0;9,09;-0,24;-0,24;-0,12;5,0;4,95;1,04;1,66;4,42;33,02;16,84;17,03;13,27;0,91;-6,87;1,36;5,24;5,19;6,65;0,88;2,68;0,17;0,34;0,63;13,74;40,32;27,42;4,13;3;False
BPAC3;0,46903542577931034;0,5106232332816482;0,49190871990559615;Bancos;Intermediários Financeiros;Financeiro e Outros;BTG;53,55;26,97;1,72;0,0;0,0;0,0;9,81;0,0;0,05;0,95;0,01;58,69;41,21;0,0;34,95;0,31;-0,32;-0,42;14,91;0,0;17,58;6,15;3,27;0,73;0,1;0,89;1,78;18,58;0,0;5,11;3;False
ELMD3;0,45446687198497765;0,5207398954667025;0,49091703489992633;Publicidade;Mídia;Comunicações;ELETROMIDIA S.A.;68,77;34,34;0,07;1,46;1,03;0,47;15,49;10,9;0,46;0,85;1,75;33,02;26,28;37,35;10,51;1,71;-2,43;13,52;14,02;9,87;35,07;3,69;4,53;0,34;0,38;0,54;4,88;12,92;14,45;6,58;3;False
HAGA4;0,5361523518756426;0,4535361725661964;0,49071345325544724;Produtos para Construção;Construção e Engenharia;Bens Industriais;HAGA S/A;-6,57;4,66;0,0;-20,4;0,0;0,0;-5,41;0,0;0,44;0,36;2,34;26,58;4,07;0,0;14,5;0,21;-1,82;0,41;11,49;0,0;3,22;0,47;-0,27;-0,08;-0,78;1,78;6,44;-8,28;2,28;-4,31;4;False
CCRO3;0,5315527828528583;0,4562841010784471;0,4901550078769322;Exploração de Rodovias;Transporte;Bens Industriais;CCR;-2,79;15,52;3,54;5,0;0,0;1,94;9,39;0,0;0,37;0,62;1,7;33,68;24,92;0,0;5,73;0,4;-0,49;5,53;4,39;0,0;19,07;1,09;1,7;-0,71;0,24;0,76;2,11;8,92;9,2;6,93;3;False
PDGR3;0,48841099059991727;0,4914505828408721;0,49008276633244247;Incorporações;Construção Civil;Consumo Cíclico;PDG REALTY;0,0;-15,54;0,0;-0,35;-0,35;0,0;-0,38;-0,38;0,21;0,73;0,32;-9,46;-511,59;-511,06;1116,06;0,03;-0,08;-0,03;-0,03;-0,03;0,01;0,15;-0,01;0,0;-6,0;7,14;236,77;-39,48;20,76;-1,86;3;False
UNIP6;0,5223384986759243;0,463179425261571;0,48980100829802997;Químicos Diversos;Químicos;Materiais Básicos;UNIPAR CARBOCLORO;-4,32;7,14;8,73;1,58;0,81;0,17;19,59;9,98;0,59;3,74;2,26;25,94;6,82;13,39;9,54;0,72;-1,39;2,71;18,08;9,21;12,93;1,23;1,98;-0,28;0,36;0,63;5,58;15,33;4,39;24,41;6;False
PORT3;0,5309317953244328;0,4559656098841096;0,4897003933322551;Serviços de Apoio e Armazenagem;Transporte;Bens Industriais;WILSON SONS;24,86;7,67;5,56;2,8;2,08;0,9;11,61;8,63;0,44;1,08;1,02;46,73;30,63;41,21;17,37;1,19;-1,42;396,24;8,8;6,54;15,53;2,7;2,84;0,77;0,42;0,58;7,67;18,27;11,63;5,92;3;False
SBSP3;0,4850828750849041;0,4931176177450801;0,4895019835480009;Água e Saneamento;Água e Saneamento;Utilidade Pública;SABESP;26,9;9,72;1,46;1,27;1,07;0,53;5,52;4,67;0,47;13,65;1,14;54,82;44,73;52,9;26,23;0,89;-1,0;67,91;4,25;3,6;7,25;1,9;1,78;0,03;0,5;0,5;12,26;24,61;18,69;55,46;3;False
ITSA4;0,47660690049883525;0,49992418584549764;0,4894314074394996;Bancos;Intermediários Financeiros;Financeiro e Outros;ITAUSA;8,27;6,55;10,73;0,27;0,25;0,05;6,72;6,19;0,07;1,29;2,61;30,14;188,74;204,87;172,93;0,87;-0,99;11,71;6,38;5,87;6,96;12,03;1,13;4,11;0,77;0,19;12,55;16,24;14,52;7,97;4;False
NGRD3;0,5020427035105525;0,47805254095160077;0,48884811410312906;Programas e Serviços;Programas e Serviços;Tecnologia da Informação;NEOGRID;0,0;8,67;0,66;15,45;-7,48;-0,31;-5,92;2,87;0,43;-1,31;2,29;61,03;-3,26;6,73;-4,42;0,3;-0,48;1,43;-21,36;10,34;-15,73;0,7;0,43;0,07;0,69;0,31;-1,9;-2,75;-4,67;47,88;3;False
UNIP3;0,5206408738883107;0,4617815345452041;0,4882682372496021;Químicos Diversos;Químicos;Materiais Básicos;UNIPAR CARBOCLORO;-4,32;7,14;8,02;1,58;0,81;0,17;19,59;9,98;0,59;3,74;2,26;25,94;6,82;13,39;9,54;0,71;-1,37;2,67;17,88;9,11;12,78;1,22;1,96;-0,28;0,36;0,63;5,58;15,33;4,39;24,41;3;False
BMEB4;0,46074805166445815;0,5105022502660099;0,4881128608953117;Bancos;Intermediários Financeiros;Financeiro e Outros;BANCO MERCANTIL DO BRASIL;35,76;21,54;5,72;0,0;0,0;0,0;6,59;0,0;0,23;4,87;0,0;52,91;9,73;0,0;8,63;0,16;-0,19;1,03;7,01;0,0;7,9;0,68;2,13;0,27;0,07;0,93;2,0;26,95;0,0;18,07;4;False
ITSA3;0,4747175158901044;0,49868711151628137;0,48790079348450177;Bancos;Intermediários Financeiros;Financeiro e Outros;ITAUSA;8,27;6,55;10,42;0,27;0,25;0,05;6,72;6,19;0,07;1,29;2,61;30,14;188,74;204,87;172,93;0,9;-1,02;12,06;6,57;6,05;7,17;12,4;1,16;4,23;0,77;0,19;12,55;16,24;14,52;7,97;3;False
